Artist	Song Title	UK	NA	AU	DE	ES	FR	HR	NL
Razorlight	"Somewhere Else"	Yes	No	No	Yes	No	No	No	No
Revolverheld	"Die Welt Steht Still"	No	No	No	Yes	No	No	No	No
The Rolling Stones	"Paint It, Black"	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Rosendo	"Vaya Ejemplar de Primavera"	No	No	No	No	Yes	No	No	No
Rosenstolz	"Es Könnt' Ein Anfang Sein"	No	No	No	Yes	No	No	No	No
Scissor Sisters	"Take Your Mama"	No	Yes	No	No	No	No	No	No
Scorpions	"Wind Of Change"	Yes	Yes	Yes	Yes	No	No	Yes	Yes
The Screaming Jets	"Better"	No	No	Yes	No	No	No	No	No
Seguridad Social	"Quiero Tener Tu Presencia"	No	No	No	No	Yes	No	No	No
Selig	"Ist Es Wichtig?"	No	No	No	Yes	No	No	No	No
Shocking Blue	"Venus"	No	No	No	No	No	No	No	Yes
Silmarils	"Vas y avoir du sport"	No	No	No	No	No	Yes	No	No
Sinclair	"Ca m'fait plus mal"	No	No	No	No	No	Yes	No	No
Sinclair	"Supernova superstar"	No	No	No	No	No	Yes	No	No
Siniestro Total	"¿Quiénes Somos? ¿De Dónde Venimos? ¿A Dónde Vamos?"	No	No	No	No	Yes	No	No	No
Snow Patrol	"Run"	Yes	No	No	No	No	No	Yes	No
Sôber	"Arrepentido"	No	No	No	No	Yes	No	No	No
Soulwax	"Caramel"	No	No	No	No	No	No	No	Yes
Stash	"Sadness"	No	No	No	No	No	No	No	Yes
Stereophonics	"Dakota"	Yes	No	Yes	No	No	No	No	No
Superbus	"Radio Song"	No	No	No	No	No	Yes	No	No
The Swingers	"Counting The Beat"	No	No	Yes	No	No	No	No	No
Têtes Raides	"Fragile"	No	No	No	No	No	Yes	No	No
Thin Lizzy	"The Boys Are Back in Town"	Yes	Yes	Yes	Yes	No	No	No	Yes
Tocotronic	"This Boy Is Tocotronic"	No	No	No	Yes	No	No	No	No
The Undertones	"Teenage Kicks"	Yes	No	No	Yes	No	No	No	No
The Veronicas	"4ever"	No	No	Yes	No	No	No	No	No
Vještice	"Totalno Drukciji Od Drugih"	No	No	No	No	No	No	Yes	No
The White Stripes	"Blue Orchid"	No	Yes	No	No	No	No	No	No
Wir sind Helden	"Denkmal"	No	No	No	Yes	No	No	No	No
Zadruga	"Mala Cici"	No	No	No	No	No	No	Yes	No
